01/04/2025 13:13:21 - 0000:	 - train_loss: 0.953814:	 - test_loss: 0.864619:	 mIoU 0.1515
01/04/2025 13:13:40 - 0001:	 - train_loss: 0.837680:	 - test_loss: 0.747421:	 mIoU 0.3039
01/04/2025 13:14:00 - 0002:	 - train_loss: 0.768067:	 - test_loss: 0.739660:	 mIoU 0.3181
01/04/2025 13:14:19 - 0003:	 - train_loss: 0.734442:	 - test_loss: 0.719416:	 mIoU 0.3416
01/04/2025 13:14:38 - 0004:	 - train_loss: 0.676286:	 - test_loss: 0.641869:	 mIoU 0.3871
01/04/2025 13:14:58 - 0005:	 - train_loss: 0.651542:	 - test_loss: 0.647047:	 mIoU 0.3922
01/04/2025 13:15:17 - 0006:	 - train_loss: 0.622273:	 - test_loss: 0.519403:	 mIoU 0.5195
01/04/2025 13:15:37 - 0007:	 - train_loss: 0.579089:	 - test_loss: 0.508177:	 mIoU 0.5166
01/04/2025 13:15:56 - 0008:	 - train_loss: 0.558501:	 - test_loss: 0.477133:	 mIoU 0.5516
01/04/2025 13:16:16 - 0009:	 - train_loss: 0.532689:	 - test_loss: 0.455303:	 mIoU 0.5735
01/04/2025 13:16:35 - 0010:	 - train_loss: 0.535132:	 - test_loss: 0.456373:	 mIoU 0.5743
01/04/2025 13:16:54 - 0011:	 - train_loss: 0.524539:	 - test_loss: 0.414916:	 mIoU 0.6156
01/04/2025 13:17:14 - 0012:	 - train_loss: 0.493471:	 - test_loss: 0.565222:	 mIoU 0.5397
01/04/2025 13:17:33 - 0013:	 - train_loss: 0.503285:	 - test_loss: 0.388180:	 mIoU 0.6440
01/04/2025 13:17:52 - 0014:	 - train_loss: 0.464021:	 - test_loss: 0.386257:	 mIoU 0.6554
01/04/2025 13:18:12 - 0015:	 - train_loss: 0.472708:	 - test_loss: 0.381141:	 mIoU 0.6555
01/04/2025 13:18:31 - 0016:	 - train_loss: 0.487799:	 - test_loss: 0.375660:	 mIoU 0.6650
01/04/2025 13:18:51 - 0017:	 - train_loss: 0.456625:	 - test_loss: 0.427156:	 mIoU 0.6583
01/04/2025 13:19:10 - 0018:	 - train_loss: 0.471771:	 - test_loss: 0.419536:	 mIoU 0.6374
01/04/2025 13:19:30 - 0019:	 - train_loss: 0.430191:	 - test_loss: 0.358332:	 mIoU 0.6832
01/04/2025 13:19:49 - 0020:	 - train_loss: 0.429091:	 - test_loss: 0.346402:	 mIoU 0.6959
01/04/2025 13:20:08 - 0021:	 - train_loss: 0.440103:	 - test_loss: 0.415989:	 mIoU 0.6368
01/04/2025 13:20:28 - 0022:	 - train_loss: 0.430329:	 - test_loss: 0.365034:	 mIoU 0.6782
01/04/2025 13:20:47 - 0023:	 - train_loss: 0.406593:	 - test_loss: 0.348551:	 mIoU 0.6943
01/04/2025 13:21:06 - 0024:	 - train_loss: 0.414229:	 - test_loss: 0.347493:	 mIoU 0.6780
01/04/2025 13:21:26 - 0025:	 - train_loss: 0.418546:	 - test_loss: 0.391352:	 mIoU 0.5979
01/04/2025 13:21:45 - 0026:	 - train_loss: 0.420082:	 - test_loss: 0.349135:	 mIoU 0.6987
01/04/2025 13:22:04 - 0027:	 - train_loss: 0.411416:	 - test_loss: 0.338274:	 mIoU 0.6968
01/04/2025 13:22:24 - 0028:	 - train_loss: 0.408770:	 - test_loss: 0.343166:	 mIoU 0.6923
01/04/2025 13:22:43 - 0029:	 - train_loss: 0.395532:	 - test_loss: 0.350958:	 mIoU 0.6878
01/04/2025 13:23:03 - 0030:	 - train_loss: 0.400297:	 - test_loss: 0.322868:	 mIoU 0.7037
01/04/2025 13:23:22 - 0031:	 - train_loss: 0.387939:	 - test_loss: 0.311863:	 mIoU 0.7102
01/04/2025 13:23:41 - 0032:	 - train_loss: 0.397077:	 - test_loss: 0.317449:	 mIoU 0.7205
01/04/2025 13:24:01 - 0033:	 - train_loss: 0.421264:	 - test_loss: 0.312138:	 mIoU 0.7167
01/04/2025 13:24:20 - 0034:	 - train_loss: 0.412942:	 - test_loss: 0.371967:	 mIoU 0.6632
01/04/2025 13:24:39 - 0035:	 - train_loss: 0.400768:	 - test_loss: 0.341318:	 mIoU 0.6836
01/04/2025 13:24:59 - 0036:	 - train_loss: 0.404425:	 - test_loss: 0.346200:	 mIoU 0.6728
01/04/2025 13:25:18 - 0037:	 - train_loss: 0.385064:	 - test_loss: 0.317279:	 mIoU 0.6880
01/04/2025 13:25:37 - 0038:	 - train_loss: 0.400852:	 - test_loss: 0.320189:	 mIoU 0.7070
01/04/2025 13:25:57 - 0039:	 - train_loss: 0.391509:	 - test_loss: 0.300690:	 mIoU 0.7224
01/04/2025 13:26:16 - 0040:	 - train_loss: 0.380607:	 - test_loss: 0.291852:	 mIoU 0.7330
01/04/2025 13:26:36 - 0041:	 - train_loss: 0.371907:	 - test_loss: 0.313007:	 mIoU 0.7231
